date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:08:30	53254/53254	---MC-	200	added ('OK')	text/html	date:Thu,%2013%20Oct%202022%2007:08:26%20GMT	https://arelydiaz88.systeme.io/bfe8af5c	D:/My%20Web%20Sites/TSHARE%20REIBOOT%20DOWN/arelydiaz88.systeme.io/bfe8af5c.html	(from )
02:08:30	13/13	---M--	200	added ('OK')	text/plain	etag:%226346b3b1-d%22	https://arelydiaz88.systeme.io/robots.txt		(from )
02:08:31	10472/10472	---M--	200	added ('OK')	image/png	etag:%228ef4308d7726d4ff8621170e787130ed%22	https://editor.systeme.io/assets/images/affiliate_badge_logo.png	D:/My%20Web%20Sites/TSHARE%20REIBOOT%20DOWN/editor.systeme.io/assets/images/affiliate_badge_logo.png	(from https://arelydiaz88.systeme.io/bfe8af5c)
02:08:31	222/222	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2004%20Oct%202022%2006:35:42%20GMT	https://cdn.polyfill.io/v2/polyfill.min.js?features=Intl.~locale.en%2CmatchMedia	D:/My%20Web%20Sites/TSHARE%20REIBOOT%20DOWN/cdn.polyfill.io/v2/polyfill.minfad9.js	(from https://arelydiaz88.systeme.io/bfe8af5c)
02:08:32	498160/498160	---MCZ	200	added ('OK')	text/css	etag:W/%22325672b036bab9b57f6873aed5eccc43%22	https://d3fit27i5nzkqh.cloudfront.net/assets/css/all.min.css	D:/My%20Web%20Sites/TSHARE%20REIBOOT%20DOWN/d3fit27i5nzkqh.cloudfront.net/assets/css/all.min.css	(from https://arelydiaz88.systeme.io/bfe8af5c)
02:08:33	1717/1717	---MCZ	200	added ('OK')	application/javascript	etag:W/%227e48280fb388cda9c9571931b0370d17%22	https://d3fit27i5nzkqh.cloudfront.net/js/runtimeSimplePage.6525755ed16e40f11e2f.js	D:/My%20Web%20Sites/TSHARE%20REIBOOT%20DOWN/d3fit27i5nzkqh.cloudfront.net/js/runtimeSimplePage.6525755ed16e40f11e2f.js	(from https://arelydiaz88.systeme.io/bfe8af5c)
02:08:33	118264/118264	---M--	200	added ('OK')	image/jpeg	etag:%22c820092ab28503abecb2675ceb5a5f92%22	https://d1yei2z3i6k35z.cloudfront.net/2282150/63466fcc4cca7_TenorshareReiboot.jpg	D:/My%20Web%20Sites/TSHARE%20REIBOOT%20DOWN/d1yei2z3i6k35z.cloudfront.net/2282150/63466fcc4cca7_TenorshareReiboot.jpg	(from https://arelydiaz88.systeme.io/bfe8af5c)
02:08:33	495756/495756	---MCZ	200	added ('OK')	application/javascript	etag:W/%229a49d341c0c31b7ba3a53b85db2df2a5%22	https://d3fit27i5nzkqh.cloudfront.net/js/simplePage.97fd9af68a2f80665fb9.js	D:/My%20Web%20Sites/TSHARE%20REIBOOT%20DOWN/d3fit27i5nzkqh.cloudfront.net/js/simplePage.97fd9af68a2f80665fb9.js	(from https://arelydiaz88.systeme.io/bfe8af5c)
02:08:34	863515/863515	---MCZ	200	added ('OK')	application/javascript	etag:W/%223205e2b6080f635764b5e003a11e8852%22	https://d3fit27i5nzkqh.cloudfront.net/js/vendors~simplePage.ee9310ad2d6b7ab45026.js	D:/My%20Web%20Sites/TSHARE%20REIBOOT%20DOWN/d3fit27i5nzkqh.cloudfront.net/js/vendors_simplePage.ee9310ad2d6b7ab45026.js	(from https://arelydiaz88.systeme.io/bfe8af5c)
